cbpf_name,iso3
Afghanistan,AFG
Bangladesh (AP-RHPF),BGD
Burkina Faso (RhPF-WCA),BFA
CAR,CAF
Chad (RhPF-WCA),TCD
Colombia (RhPF-LAC),COL
DRC,COD
El Salvador (RhPF-LAC),SLV
Ethiopia,ETH
Fiji (AP-Rhpf),FJI
Guatemala (RhPF-LAC),GTM
Haiti (RhPF-LAC),HTI
Iraq,IRQ
Jordan,JOR
Kenya (ESAHF),KEN
Lebanon,LBN
Mali (RhPF-WCA),MLI
Mozambique (RhPF),MOZ
Myanmar,MMR
Niger (RhPF-WCA),NER
Nigeria,NGA
Pakistan,PAK
Pakistan (AP-RHPF),PAK
Somalia,SOM
South Sudan,SSD
Sudan,SDN
Syria,SYR
Syria Cross border,SYR
Uganda (ESAHF),UGA
Ukraine,UKR
Vanuatu (AP-Rhpf),VUT
Venezuela,VEN
Yemen,YEM
oPt,PSE
